Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
Charmander,Fire,,309,39,52,43,60,50,65,1,False
Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
Squirtle,Water,,314,44,48,65,50,64,43,1,False
Wartotle,Water,,405,59,63,80,65,80,58,1,False
Blastoise,Water,,530,79,83,100,85,105,78,1,False
Caterpie,Bug,,195,45,30,35,20,20,45,1,False
Metapod,Bug,,205,50,20,55,25,25,30,1,False
Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
Pigeot,Normal,Fliying,469,83,80,75,70,70,91,1,False
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
